species,item,ability,type1,type2,move1,move2,move3,move4,won,strategy
Slowbro,Slowbronite,Regenerator,Water,Psychic,Scald,Fire Blast,Psyshock,Calm Mind,false,random
Zygarde,Choice Band,Aura Break,Dragon,Ground,Stone Edge,Outrage,Extreme Speed,Earthquake,false,random
Hypno,Leftovers,Insomnia,Psychic,,Wish,Toxic,Foul Play,Psychic,false,random
Hoopa-Unbound,Life Orb,Magician,Psychic,Dark,Psychic,Nasty Plot,Focus Blast,Dark Pulse,false,random
Magmortar,Leftovers,Vital Spirit,Fire,,Hidden Power Grass,Substitute,Fire Blast,Thunderbolt,true,best
Zygarde,Lum Berry,Aura Break,Dragon,Ground,Earthquake,Extreme Speed,Dragon Dance,Outrage,true,best
Genesect,Life Orb,Download,Bug,Steel,Ice Beam,Shift Gear,Thunderbolt,Iron Head,true,best
Gourgeist,Leftovers,Frisk,Ghost,Grass,Seed Bomb,Leech Seed,Shadow Sneak,Substitute,true,best
Ambipom,Life Orb,Technician,Normal,,Fake Out,Return,Knock Off,U-turn,true,best
Thundurus,Life Orb,Prankster,Electric,Flying,Hidden Power Flying,Taunt,Thunderbolt,Knock Off,true,best
Bronzong,Light Clay,Levitate,Steel,Psychic,Toxic,Light Screen,Gyro Ball,Reflect,false,random
Yveltal,Leftovers,Dark Aura,Dark,Flying,Dark Pulse,Roost,U-turn,Foul Play,false,random
Stoutland,Choice Scarf,Intimidate,Normal,,Ice Fang,Wild Charge,Crunch,Return,false,random
Amoonguss,Black Sludge,Regenerator,Grass,Poison,Spore,Synthesis,Sludge Bomb,Clear Smog,false,random
Barbaracle,Choice Scarf,Tough Claws,Rock,Water,Cross Chop,Razor Shell,Earthquake,Stone Edge,false,random
Bastiodon,Leftovers,Sturdy,Rock,Steel,Protect,Toxic,Rock Blast,Stealth Rock,false,random
Tyrantrum,Lum Berry,Rock Head,Rock,Dragon,Outrage,Superpower,Dragon Dance,Head Smash,true,best
Kricketune,Leftovers,Swarm,Bug,,Toxic,Sticky Web,X-Scissor,Knock Off,true,best
Bisharp,Life Orb,Defiant,Dark,Steel,Iron Head,Swords Dance,Knock Off,Sucker Punch,true,best
Mismagius,Leftovers,Levitate,Ghost,,Taunt,Thunderbolt,Pain Split,Shadow Ball,true,best
Relicanth,Leftovers,Rock Head,Water,Rock,Head Smash,Toxic,Earthquake,Waterfall,true,best
Mandibuzz,Leftovers,Overcoat,Dark,Flying,Toxic,Brave Bird,Roost,Foul Play,true,best
Scizor,Scizorite,Light Metal,Bug,Steel,Roost,Superpower,Bullet Punch,Knock Off,false,random
Hippowdon,Leftovers,Sand Stream,Ground,,Slack Off,Earthquake,Stone Edge,Whirlwind,false,random
Magmortar,Leftovers,Vital Spirit,Fire,,Focus Blast,Fire Blast,Hidden Power Grass,Substitute,false,random
Exeggutor,Sitrus Berry,Harvest,Grass,Psychic,Psychic,Substitute,Giga Drain,Hidden Power Fire,false,random
Watchog,Leftovers,Analytic,Normal,,Substitute,Return,Swords Dance,Knock Off,false,random
Cacturne,Life Orb,Water Absorb,Grass,Dark,Seed Bomb,Dark Pulse,Drain Punch,Spikes,false,random
Musharna,Leftovers,Synchronize,Psychic,,Calm Mind,Signal Beam,Psychic,Moonlight,true,best
Kyurem,Leftovers,Pressure,Dragon,Ice,Ice Beam,Draco Meteor,Focus Blast,Roost,true,best
Rotom-Wash,Leftovers,Levitate,Electric,Water,Hydro Pump,Pain Split,Volt Switch,Will-O-Wisp,true,best
Giratina,Leftovers,Pressure,Ghost,Dragon,Will-O-Wisp,Shadow Ball,Roar,Dragon Pulse,true,best
Rampardos,Life Orb,Sheer Force,Rock,,Rock Polish,Earthquake,Head Smash,Crunch,true,best
Furfrou-Dandy,Chesto Berry,Fur Coat,Normal,,Rest,Toxic,Return,U-turn,true,best
Hypno,Leftovers,Insomnia,Psychic,,Thunder Wave,Foul Play,Protect,Psychic,false,random
Giratina,Leftovers,Pressure,Ghost,Dragon,Shadow Ball,Will-O-Wisp,Roar,Dragon Pulse,false,random
Hitmonchan,Life Orb,Iron Fist,Fighting,,Bulk Up,Drain Punch,Ice Punch,Fire Punch,false,random
Kyogre,Choice Scarf,Drizzle,Water,,Ice Beam,Scald,Water Spout,Thunder,false,random
Galvantula,Life Orb,Swarm,Bug,Electric,Bug Buzz,Hidden Power Ice,Volt Switch,Sticky Web,false,random
Heracross,Heracronite,Moxie,Bug,Fighting,Close Combat,Bullet Seed,Pin Missile,Rock Blast,false,random
Tropius,Sitrus Berry,Harvest,Grass,Flying,Protect,Giga Drain,Air Slash,Leech Seed,true,best
Jolteon,Choice Specs,Volt Absorb,Electric,,Hidden Power Ice,Shadow Ball,Volt Switch,Thunderbolt,true,best
Exeggutor,Sitrus Berry,Harvest,Grass,Psychic,Substitute,Sleep Powder,Giga Drain,Psychic,true,best
Lugia,Leftovers,Multiscale,Psychic,Flying,Substitute,Aeroblast,Toxic,Roost,true,best
Diggersby,Choice Band,Huge Power,Normal,Ground,Earthquake,U-turn,Quick Attack,Knock Off,true,best
Aurorus,Leftovers,Snow Warning,Rock,Ice,Earth Power,Blizzard,Thunder Wave,Stealth Rock,true,best
Arceus-Dragon,Draco Plate,Multitype,Dragon,,Judgment,Earthquake,Will-O-Wisp,Extreme Speed,false,random
Vanilluxe,Life Orb,Weak Armor,Ice,,Flash Cannon,Ice Beam,Hidden Power Ground,Autotomize,false,random
Staraptor,Choice Band,Reckless,Normal,Flying,Double-Edge,Quick Attack,Close Combat,Brave Bird,false,random
Sylveon,Leftovers,Pixilate,Fairy,,Protect,Wish,Hidden Power Fire,Hyper Voice,false,random
Xatu,Leftovers,Magic Bounce,Psychic,Flying,Toxic,Roost,Psychic,U-turn,false,random
Rapidash,Life Orb,Flash Fire,Fire,,Wild Charge,Morning Sun,Drill Run,Flare Blitz,false,random
Rotom-Mow,Choice Scarf,Levitate,Electric,Grass,Hidden Power Ice,Leaf Storm,Volt Switch,Trick,true,random
Hitmonlee,Leftovers,Reckless,Fighting,,Rapid Spin,Stone Edge,Knock Off,High Jump Kick,true,random
Torkoal,White Herb,White Smoke,Fire,,Yawn,Earth Power,Fire Blast,Shell Smash,true,random
Kyogre,Choice Scarf,Drizzle,Water,,Water Spout,Thunder,Origin Pulse,Ice Beam,true,random
Florges,Leftovers,Symbiosis,Fairy,,Toxic,Aromatherapy,Moonblast,Protect,true,random
Sudowoodo,Leftovers,Rock Head,Rock,,Stealth Rock,Stone Edge,Toxic,Wood Hammer,true,random
Gourgeist,Leftovers,Frisk,Ghost,Grass,Seed Bomb,Synthesis,Will-O-Wisp,Shadow Sneak,false,best
Mightyena,Choice Band,Moxie,Dark,,Fire Fang,Play Rough,Iron Tail,Crunch,false,best
Gallade,Galladite,Justified,Psychic,Fighting,Swords Dance,Zen Headbutt,Close Combat,Knock Off,false,best
Hitmonchan,Life Orb,Iron Fist,Fighting,,Drain Punch,Fire Punch,Bulk Up,Ice Punch,false,best
Ho-Oh,Weakness Policy,Regenerator,Fire,Flying,Sacred Fire,Brave Bird,Flame Charge,Roost,false,best
Arbok,Life Orb,Shed Skin,Poison,,Rest,Sucker Punch,Gunk Shot,Earthquake,false,best
Zoroark,Focus Sash,Illusion,Dark,,Flamethrower,Nasty Plot,Dark Pulse,Sludge Bomb,true,best
Girafarig,Leftovers,Sap Sipper,Normal,Psychic,Substitute,Thunderbolt,Nasty Plot,Hyper Voice,true,best
Krookodile,Life Orb,Intimidate,Ground,Dark,Stealth Rock,Knock Off,Superpower,Earthquake,true,best
Manectric,Manectite,Lightning Rod,Electric,,Thunderbolt,Hidden Power Ice,Volt Switch,Overheat,true,best
Hariyama,Life Orb,Thick Fat,Fighting,,Ice Punch,Bulk Up,Close Combat,Bullet Punch,true,best
Zangoose,Toxic Orb,Toxic Boost,Normal,,Swords Dance,Close Combat,Knock Off,Facade,true,best
Feraligatr,Life Orb,Sheer Force,Water,,Aqua Jet,Dragon Dance,Crunch,Waterfall,false,random
Leavanny,Life Orb,Overcoat,Bug,Grass,Leaf Blade,X-Scissor,Knock Off,Sticky Web,false,random
Beedrill,Black Sludge,Sniper,Bug,Poison,Knock Off,Poison Jab,Toxic Spikes,Tailwind,false,random
Drapion,Life Orb,Sniper,Poison,Dark,Poison Jab,Pursuit,Earthquake,Taunt,false,random
Sharpedo,Life Orb,Speed Boost,Water,Dark,Waterfall,Protect,Ice Beam,Crunch,false,random
Abomasnow,Abomasite,Snow Warning,Grass,Ice,Blizzard,Giga Drain,Hidden Power Fire,Ice Shard,false,random
Vespiquen,Leftovers,Pressure,Bug,Flying,Roost,Toxic,U-turn,Infestation,true,best
Arceus-Fire,Flame Plate,Multitype,Fire,,Ice Beam,Fire Blast,Calm Mind,Recover,true,best
Gliscor,Toxic Orb,Poison Heal,Ground,Flying,Toxic,Roost,Stealth Rock,Earthquake,true,best
Rotom,Leftovers,Levitate,Electric,Ghost,Thunderbolt,Substitute,Pain Split,Shadow Ball,true,best
Pikachu,Light Ball,Lightning Rod,Electric,,Volt Switch,Iron Tail,Knock Off,Volt Tackle,true,best
Abomasnow,Abomasite,Snow Warning,Grass,Ice,Ice Shard,Earthquake,Wood Hammer,Blizzard,true,best
Mandibuzz,Leftovers,Overcoat,Dark,Flying,Foul Play,U-turn,Toxic,Roost,false,random
Scizor,Scizorite,Light Metal,Bug,Steel,Superpower,Bullet Punch,Roost,Bug Bite,false,random
Stoutland,Choice Scarf,Intimidate,Normal,,Crunch,Return,Superpower,Wild Charge,false,random
Kyogre,Choice Scarf,Drizzle,Water,,Thunder,Ice Beam,Scald,Water Spout,false,random
Hypno,Leftovers,Insomnia,Psychic,,Wish,Toxic,Psychic,Foul Play,false,random
Pachirisu,Leftovers,Volt Absorb,Electric,,Toxic,Nuzzle,Thunderbolt,U-turn,false,random
Slurpuff,Sitrus Berry,Unburden,Fairy,,Play Rough,Belly Drum,Drain Punch,Return,true,best
Aurorus,Choice Specs,Snow Warning,Rock,Ice,Freeze-Dry,Blizzard,Earth Power,Ancient Power,true,best
Wormadam-Sandy,Leftovers,Overcoat,Bug,Ground,Toxic,Earthquake,Protect,Stealth Rock,true,best
Crawdaunt,Life Orb,Adaptability,Water,Dark,Crabhammer,Aqua Jet,Dragon Dance,Knock Off,true,best
Meloetta,Leftovers,Serene Grace,Normal,Psychic,Hyper Voice,Calm Mind,Focus Blast,Psyshock,true,best
Octillery,Expert Belt,Sniper,Water,,Gunk Shot,Fire Blast,Rock Blast,Scald,true,best
Pelipper,Focus Sash,Rain Dish,Water,Flying,U-turn,Scald,Hurricane,Toxic,false,random
Ferrothorn,Rocky Helmet,Iron Barbs,Grass,Steel,Leech Seed,Spikes,Gyro Ball,Stealth Rock,false,random
Abomasnow,Assault Vest,Snow Warning,Grass,Ice,Wood Hammer,Blizzard,Earthquake,Ice Shard,false,random
Dustox,Black Sludge,Shield Dust,Bug,Poison,Sludge Bomb,Bug Buzz,Quiver Dance,Roost,false,random
Tyranitar,Tyranitarite,Sand Stream,Rock,Dark,Stone Edge,Ice Punch,Crunch,Earthquake,false,random
Tentacruel,Assault Vest,Liquid Ooze,Water,Poison,Scald,Knock Off,Sludge Bomb,Rapid Spin,false,random
Thundurus-Therian,Focus Sash,Volt Absorb,Electric,Flying,Thunderbolt,Hidden Power Flying,Nasty Plot,Focus Blast,true,best
Kyogre,Blue Orb,Drizzle,Water,,Toxic,Rest,Sleep Talk,Scald,true,best
Gliscor,Toxic Orb,Poison Heal,Ground,Flying,Roost,Toxic,Knock Off,Earthquake,true,best
Minun,Leftovers,Volt Absorb,Electric,,Encore,Hidden Power Ice,Substitute,Thunderbolt,true,best
Mesprit,Leftovers,Levitate,Psychic,,Stealth Rock,Ice Beam,Psyshock,Healing Wish,true,best
Hitmontop,Leftovers,Intimidate,Fighting,,Rapid Spin,Sucker Punch,Toxic,Close Combat,true,best
Crustle,White Herb,Sturdy,Bug,Rock,X-Scissor,Shell Smash,Stone Edge,Earthquake,false,random
Clawitzer,Choice Specs,Mega Launcher,Water,,Dark Pulse,U-turn,Ice Beam,Water Pulse,false,random
Steelix,Life Orb,Sheer Force,Steel,Ground,Roar,Earthquake,Rock Slide,Toxic,false,random
Scizor,Scizorite,Light Metal,Bug,Steel,Roost,Swords Dance,Bug Bite,Bullet Punch,false,random
Clefable,Life Orb,Magic Guard,Fairy,,Soft-Boiled,Moonblast,Calm Mind,Fire Blast,false,random
Emolga,,Motor Drive,Electric,Flying,Acrobatics,Roost,Toxic,Thunderbolt,false,random
Tyranitar,Assault Vest,Sand Stream,Rock,Dark,Earthquake,Pursuit,Fire Blast,Crunch,true,best
Sandslash,Leftovers,Sand Rush,Ground,,Knock Off,Earthquake,Rapid Spin,Stealth Rock,true,best
Swampert,Leftovers,Torrent,Water,Ground,Earthquake,Roar,Toxic,Scald,true,best
Linoone,Sitrus Berry,Quick Feet,Normal,,Seed Bomb,Belly Drum,Extreme Speed,Shadow Claw,true,best
Glalie,Glalitite,Inner Focus,Ice,,Earthquake,Return,Spikes,Ice Shard,true,best
Pachirisu,Leftovers,Volt Absorb,Electric,,Nuzzle,U-turn,Toxic,Thunderbolt,true,best
Hoopa,Focus Sash,Magician,Psychic,Ghost,Psyshock,Nasty Plot,Shadow Ball,Focus Blast,false,random
Mawile,Life Orb,Sheer Force,Steel,Fairy,Sucker Punch,Iron Head,Stealth Rock,Play Rough,false,random
Seviper,Life Orb,Infiltrator,Poison,,Earthquake,Coil,Poison Jab,Sucker Punch,false,random
Latias,Latiasite,Levitate,Dragon,Psychic,Draco Meteor,Surf,Calm Mind,Roost,false,random
Gastrodon,Leftovers,Storm Drain,Water,Ground,Clear Smog,Scald,Recover,Earthquake,false,random
Porygon-Z,Choice Scarf,Adaptability,Normal,,Dark Pulse,Trick,Thunderbolt,Tri Attack,false,random
Ferrothorn,Leftovers,Iron Barbs,Grass,Steel,Leech Seed,Spikes,Power Whip,Knock Off,true,random
Weezing,Black Sludge,Levitate,Poison,,Fire Blast,Pain Split,Will-O-Wisp,Sludge Bomb,true,random
Reshiram,Leftovers,Turboblaze,Dragon,Fire,Toxic,Draco Meteor,Roost,Blue Flare,true,random
Mr. Mime,Life Orb,Filter,Psychic,Fairy,Psyshock,Focus Blast,Dazzling Gleam,Nasty Plot,true,random
Sharpedo,Life Orb,Speed Boost,Water,Dark,Waterfall,Ice Beam,Earthquake,Crunch,true,random
Tyranitar,Tyranitarite,Sand Stream,Rock,Dark,Dragon Dance,Stone Edge,Earthquake,Crunch,true,random
Grumpig,Focus Sash,Thick Fat,Psychic,,Focus Blast,Heal Bell,Psychic,Toxic,false,best
Golduck,Leftovers,Cloud Nine,Water,,Encore,Substitute,Ice Beam,Hydro Pump,false,best
Whimsicott,Leftovers,Prankster,Grass,Fairy,Encore,Memento,Tailwind,Moonblast,false,best
Froslass,Leftovers,Cursed Body,Ice,Ghost,Thunder Wave,Ice Beam,Destiny Bond,Shadow Ball,false,best
Starmie,Leftovers,Analytic,Water,Psychic,Psyshock,Rapid Spin,Thunderbolt,Scald,false,best
Camerupt,Cameruptite,Solid Rock,Fire,Ground,Stealth Rock,Fire Blast,Ancient Power,Earth Power,false,best
Victini,Assault Vest,Victory Star,Psychic,Fire,Blue Flare,U-turn,Grass Knot,Zen Headbutt,true,random
Aggron,Aggronite,Sturdy,Steel,Rock,Rock Slide,Toxic,Heavy Slam,Earthquake,true,random
Scrafty,Leftovers,Shed Skin,Dark,Fighting,Rest,Dragon Dance,High Jump Kick,Knock Off,true,random
Ferrothorn,Leftovers,Iron Barbs,Grass,Steel,Protect,Power Whip,Stealth Rock,Knock Off,true,random
Walrein,Leftovers,Thick Fat,Ice,Water,Surf,Ice Beam,Protect,Roar,true,random
Grumpig,Leftovers,Thick Fat,Psychic,,Focus Blast,Toxic,Thunder Wave,Psychic,true,random
Vivillon-Jungle,Leftovers,Compound Eyes,Bug,Flying,Sleep Powder,Substitute,Energy Ball,Hurricane,false,best
Genesect,Assault Vest,Download,Bug,Steel,Blaze Kick,U-turn,Thunderbolt,Iron Head,false,best
Delcatty,Life Orb,Wonder Skin,Normal,,Thunder Wave,Wild Charge,Fake Out,Double-Edge,false,best
Reshiram,Leftovers,Turboblaze,Dragon,Fire,Roost,Draco Meteor,Toxic,Blue Flare,false,best
Gyarados,Gyaradosite,Intimidate,Water,Flying,Crunch,Earthquake,Ice Fang,Waterfall,false,best
Aromatisse,Leftovers,Aroma Veil,Fairy,,Moonblast,Aromatherapy,Protect,Wish,false,best
Manectric,Choice Scarf,Lightning Rod,Electric,,Volt Switch,Thunderbolt,Overheat,Hidden Power Ice,true,random
Hawlucha,Sitrus Berry,Unburden,Fighting,Flying,Roost,Acrobatics,Swords Dance,High Jump Kick,true,random
Slowbro,Slowbronite,Regenerator,Water,Psychic,Slack Off,Psyshock,Ice Beam,Scald,true,random
Bibarel,Chesto Berry,Unaware,Normal,Water,Rest,Quick Attack,Return,Waterfall,true,random
Rotom-Fan,Leftovers,Levitate,Electric,Flying,Thunderbolt,Volt Switch,Air Slash,Will-O-Wisp,true,random
Jirachi,Leftovers,Serene Grace,Steel,Psychic,Toxic,Wish,Substitute,Iron Head,true,random
Pelipper,Focus Sash,Rain Dish,Water,Flying,Scald,Hurricane,Toxic,Knock Off,false,best
Rotom-Heat,Leftovers,Levitate,Electric,Fire,Overheat,Pain Split,Hidden Power Ice,Volt Switch,false,best
Poliwrath,Life Orb,Swift Swim,Water,Fighting,Scald,Rain Dance,Ice Punch,Focus Blast,false,best
Gallade,Life Orb,Justified,Psychic,Fighting,Ice Punch,Bulk Up,Knock Off,Close Combat,false,best
Houndoom,Houndoominite,Flash Fire,Dark,Fire,Nasty Plot,Dark Pulse,Fire Blast,Hidden Power Grass,false,best
Parasect,Leftovers,Dry Skin,Bug,Grass,Knock Off,Seed Bomb,Leech Seed,X-Scissor,false,best
Darkrai,Leftovers,Bad Dreams,Dark,,Dark Pulse,Nasty Plot,Dark Void,Substitute,true,best
Spiritomb,Leftovers,Pressure,Ghost,Dark,Calm Mind,Will-O-Wisp,Dark Pulse,Psychic,true,best
Persian,Leftovers,Limber,Normal,,Taunt,U-turn,Return,Knock Off,true,best
Whiscash,Life Orb,Oblivious,Water,Ground,Earthquake,Zen Headbutt,Dragon Dance,Waterfall,true,best
Toxicroak,Life Orb,Dry Skin,Poison,Fighting,Sucker Punch,Drain Punch,Gunk Shot,Ice Punch,true,best
Crustle,Leftovers,Sturdy,Bug,Rock,X-Scissor,Spikes,Stone Edge,Stealth Rock,true,best
Camerupt,Cameruptite,Solid Rock,Fire,Ground,Will-O-Wisp,Ancient Power,Fire Blast,Earth Power,false,random
Jynx,Leftovers,Dry Skin,Ice,Psychic,Ice Beam,Psyshock,Lovely Kiss,Nasty Plot,false,random
Avalugg,Leftovers,Sturdy,Ice,,Toxic,Recover,Earthquake,Avalanche,false,random
Volcarona,Life Orb,Swarm,Bug,Fire,Bug Buzz,Fire Blast,Hidden Power Ground,Quiver Dance,false,random
Darkrai,Leftovers,Bad Dreams,Dark,,Substitute,Sludge Bomb,Dark Void,Dark Pulse,false,random
Sylveon,Leftovers,Pixilate,Fairy,,Hidden Power Fire,Calm Mind,Psyshock,Hyper Voice,false,random
Skarmory,Leftovers,Sturdy,Steel,Flying,Whirlwind,Spikes,Roost,Brave Bird,true,best
Mienshao,Life Orb,Regenerator,Fighting,,Swords Dance,Knock Off,High Jump Kick,Poison Jab,true,best
Golduck,Leftovers,Cloud Nine,Water,,Ice Beam,Encore,Calm Mind,Hydro Pump,true,best
Drifblim,Leftovers,Aftermath,Ghost,Flying,Hex,Shadow Ball,Substitute,Destiny Bond,true,best
Ambipom,Life Orb,Technician,Normal,,Fake Out,Knock Off,Low Kick,Return,true,best
Torterra,Leftovers,Overgrow,Grass,Ground,Earthquake,Stealth Rock,Stone Edge,Wood Hammer,true,best
Spiritomb,Leftovers,Pressure,Ghost,Dark,Sleep Talk,Calm Mind,Rest,Dark Pulse,false,random
Cobalion,Leftovers,Justified,Steel,Fighting,Iron Head,Swords Dance,Close Combat,Stone Edge,false,random
Shaymin,Leftovers,Natural Cure,Grass,,Leech Seed,Seed Flare,Earth Power,Substitute,false,random
Kangaskhan,Kangaskhanite,Scrappy,Normal,,Crunch,Return,Power-Up Punch,Earthquake,false,random
Electrode,Life Orb,Aftermath,Electric,,Taunt,Volt Switch,Thunderbolt,Hidden Power Grass,false,random
Watchog,Leftovers,Analytic,Normal,,Hypnosis,Knock Off,Return,Substitute,false,random
Manaphy,Leftovers,Hydration,Water,,Ice Beam,Psychic,Tail Glow,Surf,true,best
Rotom-Mow,Choice Specs,Levitate,Electric,Grass,Volt Switch,Thunderbolt,Hidden Power Fire,Leaf Storm,true,best
Aggron,Aggronite,Sturdy,Steel,Rock,Earthquake,Roar,Thunder Wave,Heavy Slam,true,best
Claydol,Leftovers,Levitate,Ground,Psychic,Psychic,Toxic,Stealth Rock,Earthquake,true,best
Durant,Life Orb,Hustle,Bug,Steel,Hone Claws,Iron Head,Stone Edge,X-Scissor,true,best
Illumise,Leftovers,Prankster,Bug,,Thunder Wave,Encore,Wish,Bug Buzz,true,best
Genesect,Focus Sash,Download,Bug,Steel,U-turn,Shift Gear,Blaze Kick,Iron Head,false,random
Magmortar,Leftovers,Vital Spirit,Fire,,Hidden Power Grass,Substitute,Focus Blast,Fire Blast,false,random
Gliscor,Toxic Orb,Poison Heal,Ground,Flying,Toxic,Earthquake,Stealth Rock,Roost,false,random
Gorebyss,White Herb,Swift Swim,Water,,Shell Smash,Hidden Power Grass,Substitute,Hydro Pump,false,random
Banette,Banettite,Cursed Body,Ghost,,Destiny Bond,Knock Off,Shadow Claw,Will-O-Wisp,false,random
Plusle,Leftovers,Lightning Rod,Electric,,Nasty Plot,Substitute,Thunderbolt,Hidden Power Ice,false,random
Aurorus,Choice Specs,Refrigerate,Rock,Ice,Ancient Power,Freeze-Dry,Earth Power,Hyper Voice,true,random
Goodra,Assault Vest,Sap Sipper,Dragon,,Fire Blast,Draco Meteor,Dragon Tail,Sludge Bomb,true,random
Luvdisc,Leftovers,Swift Swim,Water,,Sweet Kiss,Protect,Toxic,Scald,true,random
Lapras,Leftovers,Water Absorb,Water,Ice,Toxic,Hydro Pump,Heal Bell,Ice Beam,true,random
Reshiram,Leftovers,Turboblaze,Dragon,Fire,Roost,Draco Meteor,Blue Flare,Toxic,true,random
Excadrill,Life Orb,Mold Breaker,Ground,Steel,Earthquake,Swords Dance,Rock Slide,Iron Head,true,random
Yanmega,Choice Specs,Tinted Lens,Bug,Flying,Bug Buzz,Giga Drain,U-turn,Air Slash,false,best
Wigglytuff,Leftovers,Competitive,Normal,Fairy,Heal Bell,Light Screen,Stealth Rock,Dazzling Gleam,false,best
Trevenant,Life Orb,Natural Cure,Ghost,Grass,Shadow Claw,Earthquake,Horn Leech,Trick Room,false,best
Hitmontop,Assault Vest,Intimidate,Fighting,,Close Combat,Stone Edge,Rapid Spin,Sucker Punch,false,best
Magmortar,Leftovers,Vital Spirit,Fire,,Thunderbolt,Focus Blast,Substitute,Fire Blast,false,best
Aegislash,Life Orb,Stance Change,Steel,Ghost,Shadow Sneak,King's Shield,Shadow Ball,Hidden Power Ice,false,best
Nidoqueen,Life Orb,Sheer Force,Poison,Ground,Stealth Rock,Earth Power,Fire Blast,Toxic Spikes,true,random
Abomasnow,Leftovers,Snow Warning,Grass,Ice,Giga Drain,Leech Seed,Substitute,Ice Shard,true,random
Marowak,Thick Club,Battle Armor,Ground,,Knock Off,Earthquake,Substitute,Stone Edge,true,random
Venusaur,Venusaurite,Chlorophyll,Grass,Poison,Sludge Bomb,Leech Seed,Hidden Power Fire,Earthquake,true,random
Tauros,Choice Band,Intimidate,Normal,,Earthquake,Double-Edge,Zen Headbutt,Rock Slide,true,random
Delphox,Choice Scarf,Blaze,Fire,Psychic,Grass Knot,Switcheroo,Psyshock,Fire Blast,true,random
Deoxys-Speed,Focus Sash,Pressure,Psychic,,Magic Coat,Taunt,Knock Off,Psycho Boost,false,best
Shuckle,Leftovers,Sturdy,Bug,Rock,Toxic,Stealth Rock,Encore,Knock Off,false,best
Seaking,Life Orb,Lightning Rod,Water,,Waterfall,Ice Beam,Knock Off,Megahorn,false,best
Azumarill,Choice Band,Huge Power,Water,Fairy,Superpower,Aqua Jet,Waterfall,Play Rough,false,best
Blissey,Leftovers,Natural Cure,Normal,,Toxic,Seismic Toss,Heal Bell,Soft-Boiled,false,best
Rotom-Mow,Choice Scarf,Levitate,Electric,Grass,Volt Switch,Trick,Leaf Storm,Hidden Power Ice,false,best
Miltank,Leftovers,Thick Fat,Normal,,Milk Drink,Toxic,Heal Bell,Body Slam,true,best
Weavile,Choice Band,Pickpocket,Dark,Ice,Ice Shard,Icicle Crash,Knock Off,Pursuit,true,best
Galvantula,Life Orb,Compound Eyes,Bug,Electric,Volt Switch,Bug Buzz,Thunder,Sticky Web,true,best
Illumise,Leftovers,Prankster,Bug,,Wish,Bug Buzz,U-turn,Thunder Wave,true,best
Manectric,Manectite,Lightning Rod,Electric,,Volt Switch,Hidden Power Ice,Overheat,Thunderbolt,true,best
Aurorus,Leftovers,Refrigerate,Rock,Ice,Earth Power,Stealth Rock,Hyper Voice,Thunder Wave,true,best
Amoonguss,Black Sludge,Regenerator,Grass,Poison,Clear Smog,Spore,Synthesis,Sludge Bomb,false,random
Kingler,Life Orb,Sheer Force,Water,,Superpower,Crabhammer,Rock Slide,Swords Dance,false,random
Gardevoir,Life Orb,Trace,Psychic,Fairy,Psychic,Calm Mind,Focus Blast,Moonblast,false,random
Sableye,Sablenite,Prankster,Dark,Ghost,Shadow Ball,Recover,Calm Mind,Dark Pulse,false,random
Gastrodon-East,Leftovers,Storm Drain,Water,Ground,Scald,Ice Beam,Earthquake,Clear Smog,false,random
Masquerain,Life Orb,Intimidate,Bug,Flying,Bug Buzz,Hydro Pump,Air Slash,Quiver Dance,false,random
Pangoro,Focus Sash,Iron Fist,Fighting,Dark,Drain Punch,Knock Off,Gunk Shot,Parting Shot,true,random
Landorus,Life Orb,Sheer Force,Ground,Flying,Rock Slide,Focus Blast,Rock Polish,Earth Power,true,random
Unfezant,Scope Lens,Super Luck,Normal,Flying,Tailwind,Roost,Return,U-turn,true,random
Quagsire,Leftovers,Unaware,Water,Ground,Scald,Recover,Toxic,Earthquake,true,random
Rotom,Choice Specs,Levitate,Electric,Ghost,Volt Switch,Thunderbolt,Hidden Power Ice,Shadow Ball,true,random
Serperior,Leftovers,Contrary,Grass,,Hidden Power Fire,Leaf Storm,Substitute,Dragon Pulse,true,random
Sableye,Sablenite,Prankster,Dark,Ghost,Dark Pulse,Calm Mind,Will-O-Wisp,Recover,false,best
Pachirisu,Leftovers,Volt Absorb,Electric,,Nuzzle,Thunderbolt,Toxic,U-turn,false,best
Golem,Leftovers,Sturdy,Rock,Ground,Toxic,Earthquake,Stealth Rock,Rock Blast,false,best
Kingler,Life Orb,Hyper Cutter,Water,,Crabhammer,Superpower,Swords Dance,X-Scissor,false,best
Exeggutor,Sitrus Berry,Harvest,Grass,Psychic,Giga Drain,Sleep Powder,Substitute,Psychic,false,best
Arceus-Dragon,Draco Plate,Multitype,Dragon,,Outrage,Swords Dance,Earthquake,Will-O-Wisp,false,best
Audino,Audinite,Regenerator,Normal,,Wish,Heal Bell,Dazzling Gleam,Fire Blast,true,best
Blissey,Leftovers,Natural Cure,Normal,,Soft-Boiled,Toxic,Protect,Flamethrower,true,best
Jellicent,Life Orb,Water Absorb,Water,Ghost,Scald,Shadow Ball,Ice Beam,Recover,true,best
Manaphy,Leftovers,Hydration,Water,,Energy Ball,Surf,Psychic,Tail Glow,true,best
Celebi,Leftovers,Natural Cure,Psychic,Grass,Giga Drain,Recover,Psychic,Nasty Plot,true,best
